company_id,company
1,U Taxicab
2,Choice Taxi Association Inc
3,Taxi Affiliation Services
4,Flash Cab
5,Medallion Leasin
6,Taxicab Insurance Agency Llc
7,Patriot Taxi Dba Peace Taxi Associat
8,City Service
9,Sun Taxi
10,Chicago Independents
11,Blue Ribbon Taxi Association
12,Tac - Yellow Cab Association
13,5 Star Taxi
14,Globe Taxi
15,Chicago City Taxi Association
16,Tac - Checker Cab Dispatch
17,"Taxicab Insurance Agency, LLC"
18,Choice Taxi Association
19,312 Medallion Management Corp
20,3591 - 63480 Chuks Cab
21,Koam Taxi Association
22,Top Cab
23,Tac - American United Dispatch
24,6574 - Babylon Express Inc.
25,Chicago Taxicab
26,Setare Inc
27,2733 - 74600 Benny Jona
28,Tac - Blue Diamond Dispatch
29,5167 - 71969 5167 Taxi Inc
30,3556 - 36214 RC Andrews Cab
31,Petani Cab Corp
32,Metro Jet Taxi A.
33,Tac - Yellow Non Color
