datetime,temperature,wind_speed,rain,precipitation
2024-05-31 00:00:00,14.5,11.0,0.0,0.0
2024-05-31 01:00:00,12.6,10.3,0.0,0.0
2024-05-31 02:00:00,11.5,7.9,0.0,0.0
2024-05-31 03:00:00,10.9,7.9,0.0,0.0
2024-05-31 04:00:00,10.8,7.3,0.0,0.0
2024-05-31 05:00:00,10.8,7.3,0.0,0.0
2024-05-31 06:00:00,11.1,6.6,0.0,0.0
2024-05-31 07:00:00,11.7,6.2,0.0,0.0
2024-05-31 08:00:00,10.9,8.3,0.0,0.0
2024-05-31 09:00:00,11.0,11.1,0.0,0.0
2024-05-31 10:00:00,10.7,11.3,0.0,0.0
2024-05-31 11:00:00,11.5,11.5,0.0,0.0
2024-05-31 12:00:00,13.4,10.8,0.0,0.0
2024-05-31 13:00:00,15.5,13.7,0.0,0.0
2024-05-31 14:00:00,17.9,13.9,0.0,0.0
2024-05-31 15:00:00,20.1,15.5,0.0,0.0
2024-05-31 16:00:00,21.5,15.0,0.0,0.0
2024-05-31 17:00:00,22.6,12.6,0.0,0.0
2024-05-31 18:00:00,22.9,14.6,0.0,0.0
2024-05-31 19:00:00,23.1,15.1,0.0,0.0
2024-05-31 20:00:00,23.3,15.5,0.0,0.0
2024-05-31 21:00:00,23.2,14.8,0.0,0.0
2024-05-31 22:00:00,22.8,15.5,0.0,0.0
2024-05-31 23:00:00,21.9,15.5,0.0,0.0
